numberOfRooms,numberOfBedrooms,livingSpace,apartmentFloor,zipCode,price
2,1,"28,1",6,75010,270000
2,1,"43,3",22,75015,400000
4,2,82,1,75007,1160000
2,1,29,6,75017,325000
3,1,69,2,75014,760000
4,3,"163,6",1,75016,2370000
2,1,"32,8",1,75016,475000
4,2,"65,9",2,75015,710000
2,1,40,6,75016,538000
5,3,"138,8",6,75017,2200000
8,5,350,6,75016,7400000
8,4,215,3,75017,3300000
3,2,"63,4",1,75016,790000
5,4,235,2,75016,3500000
4,3,130,5,75007,2750000
5,4,185,3,75017,2950000
4,3,97,2,75016,950000
7,4,246,1,75016,2990000
3,2,95,3,75016,1690000
5,4,180,2,75016,2560000
5,3,96,1,75009,930000
4,3,"86,2",3,75017,845000
2,1,31,2,75017,378000
1,1,"28,2",6,75008,470000
2,1,"46,8",1,75007,900000
2,1,37,7,75017,599000
6,4,"203,6",1,75017,2390000
2,1,"55,7",5,75008,995000
2,1,54,4,75017,669000
3,2,45,1,75012,425532
2,1,"40,5",2,75004,500000
2,1,"28,2",3,75007,470000
3,2,90,3,75015,799000
5,4,"111,2",1,75015,1350000
3,2,68,3,75018,780000
3,2,"44,9",1,75018,430500
2,1,"55,1",8,75017,790000
4,2,"70,8",1,75018,805000
5,2,"126,7",1,75009,1257000
3,1,"48,2",1,75018,535000
5,3,107,1,75018,935000
5,3,110,2,75016,1150000
2,1,"30,6",2,75016,357000
5,3,114,1,75017,1299000
4,3,82,1,75019,699000
4,2,"82,7",4,75017,1020000
2,1,64,9,75016,665000
2,1,"55,1",8,75017,790000
7,5,"214,4",4,75016,2480000
3,2,61,1,75017,659000
6,4,"153,4",3,75010,1599000
4,2,"101,2",3,75017,1200000
5,4,"168,9",3,75017,2000000
9,6,"278,5",3,75017,3200000
5,2,"123,5",3,75020,1112000
2,1,28,3,75011,345000
3,2,"81,1",2,75004,1290000
3,2,"79,8",2,75017,870000
3,2,"79,8",2,75018,870000
4,3,"121,5",5,75004,2800000
2,1,"26,5",4,75004,449000
3,2,"74,2",4,75016,895000
3,1,61,5,75017,728000
4,2,"157,4",5,75016,1950000
2,1,"38,7",2,75006,720000
3,2,"70,2",4,75006,1500000
4,3,61,2,75019,550000
3,1,"44,2",4,75002,615000
6,4,"201,1",1,75017,1995000
5,4,"210,6",3,75005,4500000
3,2,"65,5",3,75016,680000
4,3,"62,6",3,75017,785000
5,4,"95,2",3,75011,1090000
5,3,"124,1",2,75016,1250000
4,2,"108,8",3,75008,1250000
2,1,"50,1",5,75006,795000
2,1,"48,6",3,75017,730000
1,1,"28,2",6,75008,470000
2,1,"44,3",1,75004,590000
2,1,"30,4",6,75004,369000
3,2,44,4,75016,510000
2,1,28,1,75018,249000
3,2,"63,3",5,75016,880000
3,2,73,3,75016,1090000
5,4,"111,5",5,75004,1290000
2,1,"38,7",4,75002,680000
3,1,116,9,75016,2700000
3,2,"85,1",3,75006,1370000
6,4,"200,6",3,75007,4250000
1,1,"56,6",1,75016,722000
7,5,"208,1",2,75006,3400000
4,2,"100,5",4,75006,2500000
4,2,"106,6",3,75001,2400000
5,3,189,4,75016,3465000
5,3,"112,6",5,75019,915000
2,1,57,5,75017,695000
6,4,221,2,75016,3490000
2,1,"31,5",2,75018,331200
3,2,"83,3",5,75004,1500000
5,3,116,2,75010,1450000
5,3,"101,2",1,75010,995000
4,2,96,7,75015,1595000
2,1,"63,5",4,75016,896000
3,2,57,1,75017,635000
4,3,110,1,75009,1490000
3,2,62,4,75017,651000
5,3,"94,7",4,75015,945000
3,2,"56,8",2,75018,520000
3,2,"86,1",1,75018,700000
5,3,"109,3",2,75013,955000
2,1,34,1,75019,275000
2,1,45,1,75010,419000
5,3,105,3,75014,1390000
3,2,80,4,75002,865000
5,3,110,6,75014,1195000
2,1,27,6,75008,285000
2,1,39,2,75005,429300
2,1,39,5,75019,290000
3,1,"27,5",7,75016,345000
3,1,48,6,75012,655000
4,3,80,1,75020,572000
3,2,52,3,75013,535000
2,1,25,5,75015,285000
2,1,"39,3",1,75017,390000
2,1,70,9,75015,690000
2,1,48,6,75012,378000
2,1,42,3,75020,375000
5,3,132,3,75016,1750000
2,1,"36,8",2,75006,560000
2,1,41,1,75004,520000
3,2,39,2,75010,425000
5,3,146,10,75016,1399000
3,2,51,1,75007,765000
5,3,103,4,75015,890000
3,1,65,2,75015,630000
4,3,77,3,75009,750000
4,3,86,3,75019,485000
5,3,93,6,75014,880000
3,2,91,3,75016,1395000
2,1,"36,8",2,75018,398000
2,1,34,2,75011,417000
3,2,51,2,75017,518000
3,1,37,4,75020,415000
3,2,77,2,75012,849000
2,1,60,5,75002,758000
2,1,31,2,75011,450000
2,1,61,4,75016,427000
3,1,57,1,75002,448000
2,1,"40,5",1,75019,320000
4,2,93,6,75012,895000
6,3,136,11,75016,2600000
4,3,100,1,75018,1133000
2,1,47,1,75007,765000
5,2,103,2,75013,798000
5,3,"84,9",3,75004,1495000
6,4,153,2,75017,2200000
3,2,63,7,75016,905000
5,3,126,2,75010,1250000
2,1,43,4,75013,385000
2,1,"46,3",2,75016,808000
2,1,40,2,75019,368000
2,1,30,2,75007,490000
2,1,"32,6",4,75006,492000
2,1,54,3,75016,790000
2,1,55,4,75008,950000
4,2,96,6,75008,1490000
5,3,176,4,75008,2495000
4,2,82,6,75008,1065000
3,2,66,10,75015,750000
2,1,38,4,75008,515000
3,2,49,3,75020,420000
2,1,"15,4",6,75006,265000
3,1,45,3,75005,615000
4,3,96,09,75014,1440000
4,3,98,09,75014,1495000
4,3,102,09,75014,1595000
5,4,"158,3",6,75018,3495000
2,1,"42,1",2,75020,465000
2,1,40,4,75019,428000
3,2,65,4,75015,521100
4,2,82,1,75002,920000
4,2,82,1,75003,920000
2,1,"31,7",1,75015,273000
5,3,126,3,75005,1740000
3,2,"70,1",6,75007,1030000
2,1,28,1,75011,336000
2,1,43,2,75018,430000
3,2,70,05,75013,430000
3,2,83,7,75116,1770000
4,3,100,3,75012,1490900
5,3,124,1,75008,1850000
2,1,42,8,75019,435425
2,1,50,1,75018,388713
3,2,70,2,75017,523000
3,2,50,1,75020,279000
2,1,28,6,75011,278000
3,2,"70,1",2,75017,669500
2,1,44,3,75005,650000
5,4,122,1,75015,1259000
2,1,41,2,75016,495000
3,2,"42,7",6,75010,399000
3,2,61,4,75019,609000
2,1,44,5,75016,495000
5,4,127,2,75014,1350000
2,1,51,4,75017,692000
2,1,23,2,75018,222000
3,2,46,3,75012,451000
4,3,85,1,75006,1144000
2,1,"41,5",3,75015,399000
6,4,133,1,75008,1400000
4,2,88,4,75003,1150000
4,2,95,1,75007,1975000
4,2,"56,6",6,75019,510000
2,1,29,6,75016,340000
3,1,"60,8",4,75016,575000
3,1,56,1,75011,576000
2,1,35,3,75017,530000
3,2,"42,4",2,75010,415000
3,2,"61,3",6,75019,465000
5,2,83,1,75013,618000
3,2,"48,2",2,75018,453000
2,1,27,1,75005,320000
3,2,52,1,75010,465000
5,3,135,1,75018,1350000
2,1,48,3,75003,620000
2,1,31,4,75017,359000
2,1,43,4,75001,530000
3,2,49,4,75007,680000
3,2,70,5,75013,569000
3,2,87,3,75016,1150000
2,1,"55,3",4,75008,940000
5,3,"114,2",4,75011,1310000
5,3,142,1,75007,2300000
3,2,124,3,75018,1395000
3,2,59,3,75011,685000
4,3,65,2,75020,500000
5,4,117,6,75015,1059000
2,1,67,5,75020,580000
2,1,34,4,75015,385000
2,1,24,2,75013,215000
2,1,46,2,75,503000
4,3,96,33,75015,950000
3,2,66,5,75011,595000
5,3,"143,2",3,75001,2495000
4,2,121,5,75016,1149000
3,2,"85,1",3,75006,1370000
3,2,"76,5",7,75016,1075000
4,2,"99,5",2,75007,2280000
5,4,"130,9",2,75015,1249000
2,1,"20,1",7,75011,175000
2,1,39,1,75020,440000
4,3,111,4,75020,1399000
4,3,111,4,75020,1399000
2,"50,7",1,04,75015,599000
4,3,85,09,75008,1900000
4,3,97,09,75008,2310000
3,2,70,09,75008,1450000
4,3,99,09,75008,1540000
2,1,31,09,75008,690000
3,2,69,09,75008,1300000
4,1,"19,5",6,75010,162000
2,1,"54,3",1,75015,500000
5,3,108,1,75014,849000
3,2,67,5,75011,735000
3,2,68,1,75011,580000
4,2,98,5,75015,1550000
3,2,"67,6",5,75017,750000
4,3,"104,5",2,75008,1390000
2,2,39,1,75020,440000
5,4,180,09,75007,4100000
5,3,150,09,75007,3600000
9,7,350,09,75007,12000000
5,3,152,09,75007,3600000
7,5,225,09,75007,6500000
3,2,"51,5",09,75007,830000
3,2,87,09,75007,1965000
1,30,3ème,04,75005,345000
4,2,70,2,75020,740000
2,1,24,7,75012,163000
3,2,52,1,75020,415000
4,3,86,3,75020,615000
3,1,80,3,75012,780000
2,1,51,4,75011,497000
5,3,107,7,75011,925000
3,2,89,4,75011,1095000
4,3,200,2,75002,2390000
3,2,67,2,75017,795000
2,1,35,6,75018,285000
2,1,36,4,75018,279000
2,1,54,5,75004,720000
3,2,86,6,75011,955000
3,1,43,3,75013,380000
2,1,44,3,75012,380000
4,3,80,1,75014,840000
3,2,71,4,75019,535000
5,3,133,1,75017,1400000
3,2,"74,5",3,75003,1150000
2,1,26,1,75019,263700
2,1,61,3,75011,327000
4,2,81,1,75013,897000
4,3,100,10,75014,880000
2,1,"36,8",3,75006,600000
2,1,27,1,75020,260000
2,1,33,5,75006,445000
2,1,79,5,75016,700000
2,1,"50,2",6,75011,580000
3,2,68,6,75015,548000
2,1,"36,5",1,75019,318000
3,2,"70,9",1,75015,721000
2,1,59,6,75013,415000
2,1,49,2,75006,779000
2,1,46,1,75017,450000
4,3,82,2,75019,699500
2,1,"30,2",6,75014,257000
2,1,36,5,75017,454000
4,3,81,3,75003,1000000
3,2,124,3,75018,1395000
5,3,182,1,75009,1942030
3,2,"60,2",4,75001,675000
2,1,28,4,75011,291000
4,2,154,4,75008,2480000
2,1,45,4,75017,695000
2,1,24,4,75018,255000
2,1,58,6,75008,890000
4,3,114,5,75014,1050000
3,2,"71,7",10,75013,878000
2,1,"25,3",5,75010,280000
4,2,"107,8",2,75011,1099000
4,3,81,1,75011,999000
3,1,"48,7",2,75013,430600
2,1,23,3,75018,230000
2,1,42,7,75019,424907
2,1,57,3,75016,749000
6,4,150,2,75016,1900000
4,2,98,32,75015,895000
2,1,45,33,75015,400000
2,1,45,33,75015,400000
4,2,82,1,75010,920000
6,4,175,7,75008,2999500
2,1,40,4,75018,330000
6,3,"151,4",3,75005,2395000
5,2,126,2,75001,1650000
3,2,"50,1",4,75015,540000
2,1,51,5,75009,600000
3,2,"123,3",2,75016,1850000
3,1,"73,1",2,75014,730000
3,2,71,1,75018,670000
2,1,"53,5",1,75004,830000
3,2,60,2,75006,1035000
2,1,"44,3",5,75019,367500
2,1,"30,7",4,75009,345000
4,2,85,2,75012,685000
4,3,75,4,75020,745000
3,2,95,3,75009,1200000
2,1,"49,1",2,75013,525000
4,3,99,9,75011,1180000
2,1,57,3,75008,849000
3,2,"62,1",4,75003,728000
2,1,"40,1",2,75009,499000
2,1,33,2,75020,326000
2,1,47,1,75020,327000
4,3,78,34,75013,550000
3,2,66,6,75012,692000
5,3,"126,4",5,75015,1995000
3,1,66,6,75015,750000
2,1,"55,6",6,75116,740000
4,2,"71,9",2,75016,790000
4,3,"99,3",2,75020,1430000
1,28,RDC/5,12,75017,292000
4,3,"85,1",3,75013,499000
3,2,58,1,75018,364000
4,3,101,5,75019,619000
2,1,36,5,75010,463000
2,1,26,5,75010,340000
2,1,51,3,75020,410000
2,1,26,3,75010,330000
2,1,25,1,75010,301000
2,1,34,4,75010,464000
2,1,43,5,75010,573000
2,1,41,3,75010,525000
2,1,40,4,75010,519000
2,1,40,1,75010,484000
5,3,"151,4",2,75018,2250000
2,1,33,1,75016,475000
4,2,"104,4",1,75013,1000000
4,3,90,3,75015,770000
2,1,37,2,75012,345000
2,1,35,1,75020,295000
7,3,175,1,75011,1725000
3,2,53,5,75017,690000
2,1,17,6,75008,170000
8,4,243,4,75017,3550000
4,2,122,5,75016,1620000
2,1,58,4,75020,450000
3,2,74,2,75019,560000
2,1,"45,4",4,75018,477000
2,1,46,4,75015,340000
2,1,65,1,75015,445000
2,1,44,1,75011,520000
2,1,"33,7",4,75003,527000
3,2,90,2,75001,1196000
3,2,60,3,75014,648000
4,3,80,2,75010,1130000
3,2,63,1,75016,829000
3,2,76,3,75011,825000
3,2,67,2,75002,750000
2,1,"23,8",5,75018,325000
5,3,"152,9",4,75016,1520000
3,1,"53,5",4,75004,1365000
3,2,"63,8",6,75018,357000
4,2,"75,1",7,75012,630000
4,2,"84,1",1,75014,769600
3,2,86,1,75020,599000
2,1,37,1,75011,378000
3,1,60,9,75012,519000
3,2,51,2,75018,325000
2,1,50,1,75017,450000
3,1,59,5,75016,498000
2,1,40,1,75015,350000
5,3,"165,4",5,75017,1590000
4,2,"117,8",6,75005,2050000
5,3,107,3,75017,1115000
4,2,72,8,75020,750000
7,5,"243,8",7,75016,2690000
2,1,"35,1",6,75017,386000
6,4,195,5,75008,3400000
2,1,45,3,75017,649000
2,1,80,3,75008,1050000
2,1,29,3,75017,295000
3,1,60,2,75009,740000
3,2,53,6,75020,470000
1,1,"16,6",3,75003,278000
4,2,73,10,75015,633500
4,3,92,1,75020,850000
4,3,75,9,75019,650000
4,2,70,5,75018,640500
2,1,54,4,75011,524000
4,3,99,3,75020,770000
2,1,45,4,75020,440000
3,2,80,3,75001,1080000
3,2,"61,3",2,75018,779000
2,1,28,7,75012,285000
3,2,50,1,75015,468000
3,2,73,3,75011,830000
4,3,65,5,75010,875000
2,1,30,5,75013,328600
4,2,125,32,75015,1470000
3,2,46,5,75003,595000
3,2,66,3,75020,475000
2,1,34,2,75017,420000
4,2,"64,4",2,75009,750000
2,1,40,1,75014,380000
2,1,64,1,75014,580000
5,4,140,5,75015,950000
6,4,194,8,75015,2650000
2,1,61,6,92100,450000
3,2,"41,3",2,75018,345000
2,1,28,2,75020,275000
6,4,182,5,75008,2980000
5,3,200,2,75002,2390000
7,5,160,9,75017,2450000
5,4,196,1,75017,2530000
6,5,121,6,75014,1961000
3,2,62,1,75011,644800
3,2,58,2,75017,468000
2,1,40,4,75011,425000
2,1,29,3,75014,299000
4,2,82,2,75015,1100000
2,1,46,1,75012,460000
5,3,130,5,75007,2280000
5,4,88,4,75013,760000
2,1,"34,6",6,75003,449000
2,1,52,1,75020,345000
2,1,37,5,75018,330000
3,2,"51,2",2,75015,519000
4,3,90,12,75007,2120000
2,1,"38,8",12,75007,990000
3,1,37,5,75009,425000
2,1,46,09,75015,560000
4,2,98,09,75015,1590000
2,1,52,09,75015,579000
2,1,46,09,75015,580000
2,1,45,09,75015,535000
2,1,46,09,75015,590000
2,1,46,09,75015,570000
3,2,"70,3",06,75017,949000
6,4,153,06,75008,2190000
2,1,"46,5",06,75008,664500
8,6,520,06,75008,13000000
3,2,65,06,75017,778000
4,3,"76,8",06,75017,975000
4,3,"76,8",06,75017,1075000
3,2,65,06,75017,785000
2,1,"41,7",06,75017,492000
2,1,"42,3",06,75017,490000
4,3,"92,5",06,75017,1332000
2,1,"42,3",06,75017,487000
5,3,154,1,75016,2100000
2,1,"31,7",5,75008,440000
3,2,55,3,75018,790000
3,2,65,5,75017,664000
4,3,131,12,75007,3400000
2,1,34,06,75012,459000
4,3,54,06,75012,754000
2,2,34,06,75012,459000
4,2,"96,5",4,75009,791250
1,25,Étage,12,75018,212000
8,5,305,2,75007,8500000
2,1,39,1,75008,540000
4,3,"85,1",4,75020,633000
2,1,52,1,75005,890000
2,1,52,8,75018,413000
4,3,"120,6",5,75002,1295000
2,1,"42,5",1,75019,350000
3,2,63,1,75009,699000
4,3,86,3,75017,840000
4,2,148,2,75006,3985000
2,1,27,5,75007,399000
5,3,156,5,75116,2280000
2,1,55,2,75019,750000
2,1,50,2,75019,375000
3,1,107,4,75018,880000
3,2,60,3,75011,650000
2,1,33,6,75007,388000
2,1,26,2,75017,260000
2,1,33,1,75011,343000
3,2,47,4,75013,485000
5,3,147,5,75009,1370000
2,1,"24,8",3,75013,226000
4,2,69,1,75017,915000
2,1,42,6,75009,415000
2,1,40,3,75010,408900
2,1,"47,6",2,75007,677000
5,3,113,5,75016,1050000
2,1,50,1,75013,374000
3,1,"41,8",1,75008,625000
2,1,"24,5",6,75013,250000
6,4,"169,1",2,75009,2440000
2,1,"27,2",5,75018,350000
3,2,64,1,75012,951900
1,"19,3",RDC/6,05,75008,171000
6,4,200,1,75016,1900000
2,1,39,2,75020,450000
2,1,39,1,75020,440000
6,4,240,5,75016,4450000
2,1,42,8,75019,435525
4,3,144,4,75008,4100000
4,3,65,14,75013,420000
2,1,52,1,75011,570000
4,3,94,4,75009,1130000
2,1,20,6,75010,180000
2,1,"32,7",6,75013,312000
2,1,"19,4",2,75018,199600
4,2,105,4,75002,2290000
2,1,"57,8",1,75013,693000
2,1,"26,4",6,75020,237000
2,1,60,2,75017,855000
3,2,88,3,75016,1040000
3,2,82,3,75004,1120000
6,4,122,1,75009,1050000
5,3,"146,8",33,75013,1370000
1,1,"5,6",5,75017,62000
2,1,54,1,75011,480000
3,2,48,6,75008,848000
2,1,29,2,75005,349000
4,2,76,1,75014,720000
4,3,98,5,75015,819000
3,1,54,5,75006,720000
4,2,93,1,75009,957000
2,1,44,4,75018,369000
3,2,72,6,75007,1030000
3,2,64,3,75015,550000
3,1,60,1,75006,789000
2,1,"43,7",9,75016,419000
5,3,126,4,75015,1798000
2,1,48,2,75019,340000
2,1,30,5,75020,330000
3,2,50,3,75019,375000
3,2,75,6,75012,620000
4,2,100,5,75014,1195000
6,4,174,4,75008,2000000
3,1,62,1,75017,575000
3,2,85,5,75015,670000
2,1,56,5,75006,890000
3,2,78,4,75010,699000
2,1,"32,7",1,75011,320000
3,2,"108,3",7,75008,1340000
3,2,73,6,75015,680000
3,"62,2",Étage,04,75015,699000
3,"51,7",Étage,04,75015,689000
2,1,"38,6",1,75015,387000
6,4,160,3,75001,2400000
2,1,42,1,75020,319000
2,1,"32,2",2,75019,295000
3,1,"48,6",7,75005,540000
3,2,65,3,75015,515700
4,2,"84,4",5,75007,626600
5,4,120,6,75014,1150000
2,1,40,2,75013,398900
3,2,46,1,75019,262000
4,2,"75,3",2,75017,900000
4,3,79,20,75013,599000
2,1,"35,1",1,75001,615000
1,17,RDC/6,06,75009,178000
6,4,90,3,75020,1100000
3,2,86,2,75016,1460000
2,1,"38,3",2,75006,720000
2,1,41,6,75020,356000
2,1,"26,5",4,75004,449000
4,3,"104,5",1,75017,1110000
6,3,228,1,75016,2500000
2,1,52,1,75019,585000
2,1,35,6,75008,780000
5,4,"147,2",6,75018,3195000
2,1,"29,2",3,75015,270000
6,3,"187,8",6,75008,2185000
2,1,27,4,75011,274000
2,1,56,6,75116,525000
3,2,55,1,75015,460000
1,1,9,1,75020,87500
1,1,9,1,75020,88500
2,1,36,1,75006,830000
2,1,34,2,75010,352000
4,3,81,5,75019,569000
3,2,60,3,75019,418000
2,1,34,2,75016,419900
2,1,37,2,75020,349000
2,1,"22,1",2,75020,219000
5,3,158,1,75017,1840000
1,"10,6",RDC/4,05,75009,99000
1,22,RDC,01,75015,230000
3,2,55,6,75015,566000
3,2,"61,3",2,75020,720000
2,1,44,2,75017,440000
4,2,118,6,75008,3550000
2,1,48,5,75019,405000
3,2,78,2,75012,953900
2,1,53,1,75004,830000
2,1,26,2,75020,330000
3,2,60,1,75020,618000
3,2,51,6,75019,502613
3,2,51,7,75019,515500
4,3,99,3,75020,1395000
3,2,61,1,75020,640000
2,1,26,1,75017,220000
2,1,37,1,75015,325000
3,2,54,1,75015,420000
2,1,44,6,75009,399000
4,2,87,3,75010,839000
7,6,240,3,75011,3605000
2,1,52,5,75003,550000
2,1,63,4,75007,990000
3,2,57,6,75020,470000
4,2,98,32,75015,895000
2,1,"50,4",1,75015,496000
2,1,33,1,75018,380000
3,2,75,4,75006,1980000
3,2,77,32,75015,720000
4,2,98,32,75015,785000
2,1,47,6,75009,389990
4,2,"98,4",5,75003,1180000
3,1,76,3,75011,1045000
4,3,117,4,75006,1920000
4,3,126,3,75015,1995000
2,1,30,2,75003,500000
2,1,43,1,75003,519570
2,1,52,1,75011,549000
2,1,57,1,75011,645000
3,1,"76,2",1,75017,735000
5,4,140,2,75020,1750000
4,3,75,7,75020,377000
4,2,98,32,75015,785000
4,3,96,33,75015,950000
4,2,98,32,75015,930000
4,2,98,32,75015,930000
3,2,66,2,75016,830000
2,1,"33,8",5,75018,398000
2,1,30,2,75013,290000
3,2,63,2,75012,953900
2,1,43,1,75018,430000
3,2,70,4,75018,787000
2,1,50,4,75018,461000
3,2,69,1,75018,645000
3,1,61,2,75020,650000
5,1,139,2,75020,1850000
5,4,140,2,75020,1750000
4,3,83,1,75018,769000
3,2,62,1,75020,640000
2,1,59,1,75016,635000
4,3,83,4,75019,625000
4,2,98,32,75015,785000
3,2,"66,4",6,75017,650000
5,3,145,4,75017,1850000
2,1,35,4,75018,280000
2,1,"54,5",1,75020,480000
2,1,39,4,75016,570000
4,3,86,6,75019,530000
4,3,114,2,75020,825000
5,3,109,6,75015,1040000
3,2,59,6,75006,660000
4,3,"111,3",8,75016,1510000
5,3,"107,2",7,75011,925000
2,1,46,2,75,485000
3,2,89,1,75020,740000
3,2,55,5,75004,626000
2,1,37,4,75009,424000
5,3,75,1,75005,845000
1,1,31,4,75007,430000
4,3,103,3,75006,1750000
4,2,82,1,75016,890000
3,2,61,2,75015,660000
4,3,165,1,75016,2370000
2,1,44,7,75019,377000
6,3,136,1,75005,2200000
2,1,38,6,75017,320000
4,3,123,1,75016,1071200
4,3,90,1,75012,943000
2,1,46,5,75011,540000
5,3,126,4,75016,1535000
3,1,"42,6",3,75018,579000
3,1,75,2,75016,795000
2,1,41,6,75019,320000
4,3,86,1,75015,770000
5,3,132,5,75016,1990000
2,1,32,3,75016,385000
2,1,41,2,75007,630000
5,3,152,3,75008,1980000
3,2,62,3,75016,676000
4,2,155,4,75008,2480000
6,4,227,2,75017,3190000
1,1,13,6,75017,135000
5,4,152,1,75009,1648000
3,1,65,2,75020,495000
2,1,"31,1",3,75013,285000
5,4,125,3,75009,1495000
2,1,"46,4",2,75116,655000
4,3,102,1,75012,1192000
5,4,129,2,75010,1338000
4,2,75,5,75017,684000
3,2,62,2,75018,699000
2,1,"41,2",2,75017,493500
2,1,32,2,75011,329000
2,1,46,4,75015,580000
2,1,60,9,75016,1190000
4,2,92,4,75013,880000
2,1,33,5,75016,440000
2,1,35,6,75011,419000
3,1,"51,8",3,75017,565000
2,1,30,5,75005,360000
3,2,"76,3",3,75018,490000
2,1,22,2,75018,198000
4,2,97,2,75016,1522000
4,3,"98,1",1,75012,949000
2,1,"55,4",3,75002,655000
3,2,59,6,75011,676000
4,2,107,2,75008,1575000
3,2,83,3,75016,720000
2,1,40,6,75020,350000
2,1,42,4,75015,392200
3,2,68,2,75010,600000
4,2,82,2,75011,949000
4,3,155,1,75010,1249000
2,1,"28,8",3,75003,399000
3,2,"72,4",6,75018,1165000
5,4,"152,9",6,75018,3095000
5,4,"127,2",4,75020,1550000
6,4,161,1,75007,1950000
2,1,"35,5",5,75011,397500
2,1,25,4,75019,152282
3,3,"72,1",4,75019,771470
5,3,125,4,75012,1290000
3,2,68,3,75020,599000
3,2,68,3,75020,599000
7,4,252,1,75008,6900000
2,1,"56,1",1,75017,627000
8,6,180,3,75018,1950000
2,1,47,7,75020,498000
3,2,70,1,75016,825000
3,2,65,1,75014,700000
2,1,27,4,75012,237400
6,4,160,3,75001,2150000
3,2,56,6,75018,519000
2,1,38,3,75014,440000
3,2,56,9,75015,421000
2,1,28,1,75013,373000
4,3,113,1,75020,1244000
3,2,64,6,75018,1165000
5,4,194,9,75015,2650000
5,4,158,5,75018,3395000
2,1,45,5,75014,554000
2,1,53,1,75015,498000
3,2,58,1,75007,799000
4,3,121,2,75011,840000
3,2,121,2,75011,840000
4,3,121,2,75011,840000
2,1,30,2,75020,250000
2,1,42,6,75020,329000
3,2,"69,1",1,75016,845000
3,2,57,3,75005,750000
4,2,63,6,75016,777000
3,2,"66,9",1,75020,799000
4,3,83,2,75016,1540000
6,4,122,4,75020,995000
3,1,54,1,75020,499000
3,3,49,6,75014,525000
3,1,52,2,75015,420000
3,2,53,6,75020,495000
2,1,43,2,75016,600000
2,1,37,1,75016,470000
2,1,"29,4",1,75018,273000
2,1,54,6,75015,519000
2,1,48,2,75017,449000
2,1,50,3,75018,420000
2,1,44,5,75014,399000
3,1,69,2,75005,1270000
3,2,"47,8",2,75018,449900
5,3,170,4,75011,1990000
2,1,52,3,75016,620000
4,3,77,4,75019,1190000
4,3,104,3,75020,1380000
4,2,125,32,75015,1470000
2,1,25,6,75016,330000
2,1,42,5,75015,440000
6,4,185,2,75012,1795000
4,3,103,8,75019,950000
4,3,100,3,75012,1490900
2,1,39,5,75017,470000
1,1,10,1,75016,159000
3,2,44,1,75004,545000
2,1,"36,5",4,75019,400000
2,1,38,4,75012,410000
3,2,38,5,75010,420000
2,1,"45,5",3,75015,520000
4,3,"106,3",6,75015,1650000
2,1,30,5,75003,389000
3,2,"61,4",6,75017,650000
5,3,117,3,75009,1390000
3,2,53,5,75020,535500
2,1,"36,7",3,75011,420000
3,1,74,5,75011,1150000
2,1,"37,9",2,75011,445000
2,1,40,2,75013,378000
2,1,63,1,75014,580000
1,1,7,7,75017,90000
2,1,32,2,75018,419000
3,2,55,1,75116,562000
2,1,50,5,75008,660000
2,1,"30,3",2,75012,330000
3,2,55,1,75015,514500
3,2,65,6,75018,1225000
4,3,100,3,75012,1470900
5,4,107,1,75020,1350000
3,2,78,2,75020,850001
4,3,83,1,75018,769000
4,3,87,3,75018,918000
4,3,84,4,75018,1100000
4,3,77,4,75019,1190000
4,1,83,1,75020,1102046
3,1,69,2,75020,884194
2,1,60,5,75016,795000
4,3,92,5,75020,1650000
3,2,51,7,75019,515500
3,2,70,2,75018,645000
3,2,62,1,75020,640000
2,1,42,3,75020,300000
6,4,181,3,75016,2995000
4,3,80,2,75012,800000
3,2,94,4,75007,1645000
4,3,"76,7",2,75006,1190000
5,3,151,2,75017,2320000
3,2,70,1,75020,610000
2,1,29,6,75008,318000
2,1,41,2,75014,439000
2,1,63,6,75016,795000
3,2,100,2,75017,1095000
2,1,52,2,75020,475000
2,1,30,3,75011,355000
7,6,220,5,75015,1600000
2,1,52,4,75014,518000
3,2,70,6,75002,745000
3,1,"60,7",3,75003,740000
3,1,53,1,75006,710000
2,1,53,4,75020,440000
3,2,52,1,75012,518000
2,1,39,5,75018,382000
4,2,94,2,75017,800000
3,2,"55,1",2,75017,682000
2,1,36,5,75010,315000
4,3,92,5,75018,670000
2,1,65,3,75005,820000
3,1,51,3,75012,487000
5,4,105,12,75019,899000
5,3,111,3,75009,1620000
2,1,47,2,75016,655000
5,2,108,11,75015,1175000
3,2,"56,5",4,75016,770000
2,1,45,26,75013,235000
4,3,"66,1",5,75014,749000
2,1,51,7,75016,519000
2,1,41,06,75018,464000
2,1,45,5,75018,344000
2,1,47,6,75019,522666.67
3,2,55,1,75006,950000
3,1,70,4,75011,789000
4,3,80,4,75009,900000
5,4,123,1,75017,1490000
4,3,90,3,75017,990000
5,4,99,2,75020,850000
3,2,76,6,75016,885000
3,2,50,6,75015,510000
5,4,"98,9",2,75020,977600
3,2,72,1,75014,735000
2,1,"61,5",2,75016,750000
6,5,178,2,75017,2250000
2,1,36,5,75011,415000
3,2,81,4,75003,1100000
3,2,81,4,75004,1100000
3,1,64,2,75009,720000
3,2,68,2,75015,699000
4,2,82,6,75008,1055000
3,2,46,6,75014,444000
2,1,"24,5",3,75013,126000
3,2,61,10,75013,595000
3,2,"53,8",1,75012,535000
5,3,100,1,75016,1000000
