numberOfRooms,numberOfBedrooms,livingSpace,apartmentFloor,zipCode,price
2,1,33,6,75011,380000
2,1,30,5,75003,418000
3,2,61,13,75020,399000
2,1,37,3,75018,250000
4,2,110,1,75015,950000
3,2,78,1,75020,827000
2,1,"30,2",5,75017,290000
4,3,88,3,75019,825000
3,2,43,1,75010,415000
3,2,46,1,75010,510000
2,1,26,1,75005,310000
4,3,101,1,75015,910000
2,1,29,1,75006,395000
2,1,26,1,75020,229000
3,2,53,5,75004,649000
4,2,87,3,75009,950000
3,2,73,7,75008,1590000
3,2,"49,9",4,75015,535000
5,2,"118,5",1,75006,1890000
5,3,"125,3",3,75009,1490000
5,4,90,1,75020,789000
2,1,28,3,75019,325000
3,2,70,5,75020,639000
2,1,24,5,75018,230000
3,2,"65,6",4,75018,706000
1,1,26,1,75017,282000
2,1,43,4,75018,399000
2,1,50,6,75016,470000
5,3,194,3,75020,2080000
3,2,71,3,75014,650000
2,1,"38,1",2,75015,350000
2,1,"43,6",1,75015,483000
3,2,59,3,75020,560000
2,1,45,3,75019,425000
3,2,55,2,75015,550000
4,2,125,7,75019,975000
2,1,35,1,75011,470000
3,3,67,4,75009,795000
3,2,66,4,75013,600000
4,2,66,4,75013,600000
3,1,60,3,75003,800000
3,1,89,1,75018,550000
2,1,"44,2",5,75006,595000
3,2,93,1,75017,990000
2,1,"49,4",1,75017,472014
3,2,91,5,75008,2400000
5,3,79,6,75005,945000
3,2,59,1,75011,650000
2,1,25,2,75012,280000
2,1,56,3,75006,920000
2,1,41,2,75014,400000
8,5,290,2,75008,4530000
8,5,208,2,75006,3400000
3,2,46,5,75014,500000
2,1,51,1,75014,506000
4,2,111,5,75018,1560000
6,4,165,1,75009,1560000
2,1,"49,2",2,75017,485000
6,4,242,2,75116,3990000
3,1,74,3,75006,1450000
3,2,"41,2",1,75017,359000
4,2,"76,6",1,75015,730000
2,1,53,3,75012,472500
2,1,38,2,75005,480000
3,2,"64,4",6,75018,1225000
4,3,"88,5",11,75018,596850
5,3,171,5,75007,3350000
2,1,45,1,75008,478000
3,2,55,5,75015,500000
3,2,"65,9",4,75006,1120000
2,1,"39,8",3,75010,358000
3,2,90,2,75016,940000
4,2,74,1,75018,730000
3,2,"108,7",6,75007,1995000
3,2,"49,8",2,75018,580000
5,3,135,1,75016,1485000
2,1,"50,2",2,75016,460000
2,1,"46,6",6,75008,457600
4,2,"77,6",4,75016,900000
4,1,"78,2",2,75008,1055000
3,2,87,2,75016,870000
2,1,"53,1",1,75016,595000
6,3,"195,7",4,75008,2090000
3,2,"89,5",3,75014,1085000
2,1,"31,2",7,75014,345000
4,3,"96,7",2,75016,1522000
4,2,98,32,75015,895000
4,2,98,32,75015,785000
4,2,98,32,75015,930000
4,2,86,3,75007,1770000
6,4,199,3,75016,2190000
2,1,"54,3",1,75016,766000
2,1,43,2,75013,345000
4,3,90,2,75011,890000
2,1,"28,1",2,75009,350000
4,2,70,5,75014,765000
4,2,"71,6",6,75011,276000
2,1,45,5,75004,597000
1,"9,9",Dernier,04,75004,155000
2,1,52,3,75017,562000
4,3,126,2,75016,398000
3,2,61,3,75018,473000
3,2,"85,1",4,75010,965000
5,3,127,2,75009,1360000
2,1,37,1,75020,323950
2,1,24,4,75006,388000
2,1,26,1,75006,429000
2,1,33,2,75001,475000
2,1,67,3,75020,475000
2,1,"45,3",7,75010,735000
2,1,"48,8",1,75018,595000
5,2,102,2,75008,1365000
4,3,137,7,75016,2450000
3,2,"71,6",4,75019,545000
2,1,63,6,75008,1900000
2,1,"65,4",3,75016,870000
2,1,43,4,75004,575000
5,3,114,3,75010,1135000
3,2,73,5,75016,950000
2,1,"37,4",3,75007,635000
6,4,118,4,75017,1299000
3,2,55,4,75018,395000
2,1,17,1,75015,224000
4,3,85,4,75019,675000
5,3,140,5,75017,1500000
2,1,39,3,75003,450000
2,1,52,4,75020,494000
2,1,43,2,75018,470000
5,3,99,1,75016,1195000
2,1,44,4,75015,486316
6,3,306,3,75016,4450000
3,1,71,5,75011,840000
3,2,57,1,75011,529000
4,2,112,4,75006,3200000
4,3,91,1,75020,850000
3,1,63,4,75015,578000
1,1,26,1,75010,228000
2,1,52,5,75005,740000
4,2,"111,5",1,75006,2152000
5,3,120,8,75016,1550000
3,2,"67,1",2,75019,535000
3,1,57,3,75018,488250
4,2,96,1,75016,1185000
3,1,"77,4",7,75016,1390000
3,2,96,1,75016,872000
3,2,47,1,75016,495000
5,4,165,4,75005,1700000
3,2,"48,6",1,75018,500000
3,2,90,5,75013,795000
2,1,48,6,75015,420000
2,1,24,4,75003,269000
2,1,35,2,75011,375000
2,1,35,2,75011,375000
2,1,33,1,75004,445000
2,1,35,4,75020,305000
2,1,43,1,75008,619000
2,1,41,4,75017,435000
3,2,74,3,75006,1130000
3,1,70,1,75011,620000
2,1,28,1,75020,265000
5,3,96,2,75011,1095000
2,1,"40,3",2,75011,530000
2,1,"36,6",2,75018,315000
2,1,37,4,75012,380000
3,2,52,1,75015,520000
2,1,50,5,75011,429500
2,1,"54,3",5,75015,420000
3,2,68,2,75019,695000
2,1,"43,5",2,75019,370000
3,2,51,1,75013,475000
2,1,"56,9",2,75019,505000
3,2,40,2,75012,445000
2,1,38,5,75018,429000
4,3,"112,1",1,75017,1100719
2,1,"61,5",6,75019,523940
4,2,87,1,75020,550000
2,1,44,1,75019,355000
3,2,44,3,75013,369000
2,1,31,5,75018,229900
2,1,"38,2",1,75019,409000
2,1,"60,6",5,75015,580000
3,1,45,1,75016,495000
3,2,"67,2",1,75013,420000
4,2,107,5,75015,998000
2,1,"54,2",7,75015,535000
3,1,62,1,75017,595000
5,3,145,1,75008,1700000
15,5,500,5,75017,5300000
3,2,59,6,75014,595000
5,3,112,2,75010,998000
5,4,"82,6",1,75010,735000
9,5,"353,5",4,75016,6990000
3,2,48,3,75012,449000
3,2,"56,3",3,75015,545000
2,1,27,3,75019,190000
3,2,71,7,75014,682000
4,2,71,7,75014,682000
3,1,"64,7",4,75015,648000
3,2,53,2,75013,308000
3,2,"70,3",3,75009,860000
3,2,"69,9",8,75015,762000
2,1,"46,5",3,75016,580000
4,2,69,1,75007,830000
3,2,60,1,75018,329000
5,3,133,2,75016,1360000
2,1,35,1,75004,498000
2,1,57,2,75010,515000
3,1,57,2,75010,515000
4,2,134,4,75001,2590000
3,2,74,3,75006,1130000
3,2,"119,8",5,75016,1299000
3,1,56,1,75015,505000
2,1,"37,2",1,75013,291000
2,1,"39,6",1,75016,430000
4,3,71,1,75020,735000
2,1,31,4,75005,399000
2,1,34,2,75014,279000
3,2,53,2,75018,457000
3,2,63,8,75013,766500
2,1,"41,4",1,75013,384800
2,1,35,1,75019,332000
2,1,48,5,75016,450000
3,2,70,6,75013,549900
2,1,"48,5",2,75006,775000
6,3,134,2,75012,1730000
5,2,160,2,75001,4200000
2,1,50,16,75020,318000
2,1,62,3,75010,598000
2,1,"41,6",2,75019,360000
6,4,"181,1",4,75008,1980000
2,1,38,4,75012,430000
2,1,54,4,75018,585000
4,3,"77,2",3,75016,811000
